DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber
30-Aug-2016,13,16,29,35,42,6,8,"MVH611628",933
26-Aug-2016,1,9,28,30,48,7,8,"LTW182939,LTW355925,LTW531563,LTW882594,LTY417028",932
23-Aug-2016,2,23,31,37,45,4,8,"JTK288786",931
19-Aug-2016,5,6,22,25,34,5,7,"JTP111531",930
16-Aug-2016,2,26,34,37,46,4,8,"HTF991915",929
12-Aug-2016,2,15,28,36,50,2,11,"GSZ040219",928
09-Aug-2016,12,19,43,44,45,5,10,"FSP017837",927
05-Aug-2016,16,19,24,35,37,2,7,"DSJ166259",926
02-Aug-2016,2,8,27,38,46,2,6,"CSC962059",925
29-Jul-2016,1,21,26,40,50,2,4,"BRR888846,BRR958749,BRV334409,BRW208700,BRY520922",924
26-Jul-2016,3,10,13,45,49,2,11,"ZRR675637",923
22-Jul-2016,7,24,26,37,45,5,9,"XQY886338",922
19-Jul-2016,19,24,28,36,37,3,6,"XQY483134",921
15-Jul-2016,2,11,13,14,21,1,8,"VQK847406",920
12-Jul-2016,3,7,26,33,41,2,10,"VQK223149",919
08-Jul-2016,8,12,18,33,44,4,8,"TQF024839",918
05-Jul-2016,1,10,29,38,48,3,4,"SPZ872322",917
01-Jul-2016,2,11,13,40,50,1,10,"QPM048430",916
28-Jun-2016,26,32,37,43,49,4,5,"QPL327042",915
24-Jun-2016,11,19,27,28,39,3,10,"NNX274129,PPF002949,PPF437971,PPH560296,PPK832448",914
21-Jun-2016,5,17,32,35,49,1,5,"NPB205470",913
17-Jun-2016,1,7,18,27,43,4,8,"MNR722401",912
14-Jun-2016,13,34,39,42,50,9,11,"LNN393135",911
10-Jun-2016,14,21,35,42,43,7,9,"KNJ224308",910
07-Jun-2016,19,26,35,45,49,2,5,"JMX636943",909
03-Jun-2016,7,23,31,33,39,6,10,"HMS533469",908
31-May-2016,6,12,26,30,48,6,7,"GMF009112",907
27-May-2016,13,25,27,43,46,4,8,"FLV732727,FLW408516,FLY675723,FMB827073,FMC421966",906
24-May-2016,16,17,23,34,37,6,9,"DLS506955",905
20-May-2016,9,14,30,41,45,4,9,"CLL095602",904
17-May-2016,15,27,32,36,39,3,10,"BLD375634",903
13-May-2016,7,15,28,31,42,10,11,"ZKY577961",902
10-May-2016,2,26,27,40,49,5,10,"YKQ309499",901
06-May-2016,32,34,40,45,48,1,10,"XKM780699",900
03-May-2016,8,23,24,34,38,3,7,"WJZ710336",899
29-Apr-2016,4,5,25,28,43,6,11,"RHX856027,VJP992080,VJT649639,VJV487966,VJX123490",898
26-Apr-2016,10,17,31,32,42,2,5,"TJM549430",897
22-Apr-2016,17,26,32,34,43,2,10,"SJC077121",896
19-Apr-2016,11,14,15,27,44,2,7,"RHW968483",895
15-Apr-2016,13,14,32,37,48,1,7,"QHQ601782",894
12-Apr-2016,1,5,9,22,38,2,10,"PHK986965",893
08-Apr-2016,6,8,26,43,49,6,10,"NHB094378",892
05-Apr-2016,3,5,9,19,40,2,5,"MGY489185",891
01-Apr-2016,2,16,23,25,49,6,9,"LGN791604",890
29-Mar-2016,4,25,19,36,1,3,11,"KGK662163",889
25-Mar-2016,43,36,12,42,19,8,5,"JFZ542779,JGB629631,JGC965039,JGD845603,JGG394148",888
22-Mar-2016,15,49,12,26,42,5,8,"HFW851168",887
18-Mar-2016,14,49,21,19,24,5,11,"GFP567352",886
15-Mar-2016,7,10,5,44,34,10,2,"FFD954589",885
11-Mar-2016,26,43,1,21,40,9,6,"BDN010072",884
08-Mar-2016,9,14,23,8,1,7,1,"CDV579595",883